,user_id,first_order_time,first_order_price,age_month,city_num,platform_num,model_num,app_num,login_day,login_diff_time,distance_day,login_time,launch_time,chinese_subscribe_num,math_subscribe_num,add_friend,add_group,camp_num,learn_num,finish_num,study_num,coupon,course_order_num,main_home,main_home2,mainpage,schoolreportpage,main_mime,lightcoursetab,main_learnpark,partnergamebarrierspage,evaulationcenter,coupon_visit,click_buy,progress_bar,ppt,task,video_play,video_read,next_nize,answer_task,chapter_module,course_tab,slide_subscribe,baby_info,click_notunlocked,share,click_dialog,result
0,2000001563151338,2018/12/2 19:17,0.0,61,杭州,9.2969,5.8824,1,5,1.4,32,16,1,1,1,1,1,1,3,3,1,3,1,30,32,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,7,1,2,5,0,0,1,1
2,2000001563266119,2018/11/22 19:45,9.0,66,东莞,9.2969,15.6268,1,5,0.8,22,10,0,0,0,1,1,1,3,3,1,4,0,82,30,0,0,0,0,0,0,1,1,0,0,47,30,22,34,42,15,0,1,5,5,0,1,4,1
5,2000001568947583,2019/1/18 17:51,0.0,69,成都,9.2969,5.0,1,5,1.2,24,152,1,1,1,1,1,3,4,4,1,2,1,80,45,11,8,3,1,0,0,0,0,0,0,45,29,34,48,28,47,10,10,3,7,2,9,1,1
7,2000001569870868,2018/12/29 15:27,0.0,76,唐山,9.2969,6.0109,1,7,1.0,51,111,3,1,1,1,1,0,9,10,1,2,1,175,185,18,21,5,18,13,0,29,0,0,431,35,32,37,47,35,36,61,90,12,5,13,21,2,1
8,2000001569947465,2018/12/13 10:28,0.0,53,上海,9.2969,10.9698,1,9,29.44,24,127,1,1,0,1,1,1,4,4,1,7,5,101,90,16,7,0,3,0,0,0,5,0,0,44,26,46,44,35,20,10,0,8,5,8,10,1,1
9,2000001569957403,2019/1/7 16:09,0.0,74,重庆,13.557,10.3925,1,6,0.83,26,13,0,1,0,1,1,2,3,3,1,3,1,43,31,8,2,3,0,0,0,0,0,0,0,17,14,15,25,18,1,39,7,3,3,1,6,1,1
10,2000001569960123,2018/12/30 13:35,0.0,66,北京,9.2969,15.6268,1,1,0.0,168,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2000001572158707,2019/1/29 22:59,0.0,51,唐山,9.2969,7.6037,1,8,0.88,29,8,0,1,0,1,1,1,5,5,0,0,0,79,43,14,16,3,2,0,0,2,0,0,0,34,28,13,24,28,19,13,0,2,5,0,15,1,1
16,2000001576571971,2018/12/23 10:39,0.0,58,凉山彝族自治州,9.2969,8.9907,1,6,1.17,37,15,0,1,1,1,1,0,3,3,1,3,1,73,32,7,4,3,1,1,0,3,0,0,0,38,28,13,41,35,18,13,1,3,12,1,9,1,1
20,2000001577311518,2018/11/20 19:28,0.0,91,深圳,9.2969,8.5454,1,4,30.5,48,11,2,1,0,1,1,3,1,0,1,2,4,23,30,4,3,1,0,0,0,0,3,0,169,0,4,0,0,0,5,2,24,5,7,1,1,1,1
22,2000001577748309,2018/12/11 8:26,0.0,99,厦门,9.2969,6.0933,1,4,1.25,18,26,0,0,0,1,1,1,2,2,0,1,0,32,48,5,14,6,4,7,5,5,0,0,0,0,0,0,0,0,1,1,6,4,3,0,13,2,1
23,2000001577893169,2019/3/23 20:28,0.0,54,徐州,9.2969,9.2799,1,2,1.0,46,1,0,1,0,1,1,1,1,1,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
24,2000001578008099,2019/1/30 11:27,0.0,77,上海,13.557,22.164,1,7,3.0,18,19,5,1,1,1,1,5,5,5,1,7,3,58,38,17,6,0,3,1,0,0,0,0,2,25,29,39,39,49,2,19,89,2,4,3,5,1,1
25,2000001578011432,2018/12/31 9:09,0.0,56,日照,13.557,11.2154,1,5,1.4,13,12,0,1,0,1,1,2,4,4,1,1,3,54,37,8,2,0,3,3,0,0,0,0,0,17,14,19,12,18,3,13,26,6,5,2,4,1,1
26,2000001578102890,2019/3/22 12:54,0.0,65,连云港,9.2969,6.8006,1,4,0.75,51,77,1,1,0,1,1,2,2,2,0,1,1,58,40,2,4,0,1,0,0,0,0,0,0,42,25,23,64,27,25,9,2,3,0,1,4,0,1
27,2000001578257492,2019/1/10 23:29,0.0,93,南京,9.2969,16.53,1,4,0.75,24,282,0,0,0,1,1,1,2,2,0,1,1,77,46,9,14,1,1,0,0,0,0,0,0,33,23,30,46,28,12,4,1,4,5,3,17,1,1
28,2000001579146755,2019/1/29 7:30,0.0,65,沈阳,13.557,14.8028,1,3,1.33,51,2,0,1,1,1,1,3,1,1,1,4,0,36,21,2,1,1,1,0,0,0,0,0,0,9,7,8,10,9,0,0,1,2,3,0,2,1,1
29,2000001579161530,2019/3/20 23:02,0.0,93,南充,9.2969,5.4466,1,4,0.75,31,169,1,0,0,1,1,5,10,11,1,2,2,121,110,18,12,4,6,7,22,3,0,0,2073,17,26,35,49,53,40,53,33,25,0,5,18,0,1
30,2000001579565441,2019/4/14 19:33,0.0,80,中山,9.2969,6.2079,1,3,0.67,26,60,0,0,0,1,1,2,2,1,1,1,0,49,19,8,0,1,0,0,0,0,0,0,0,66,28,17,8,22,15,18,8,9,7,2,0,2,1
31,2000001579646725,2018/12/10 9:25,0.0,68,邵阳,9.2969,1.7391,1,7,1.0,13,44,4,1,0,1,1,5,10,8,1,10,8,244,169,4,10,0,0,2,0,6,3,0,305,74,62,79,120,90,38,21,195,7,4,0,15,1,1
32,2000001580253098,2018/12/12 17:40,0.0,85,沈阳,13.557,12.2015,1,4,1.25,23,84,1,1,0,1,1,2,2,2,0,1,1,73,93,7,1,0,1,1,0,3,2,0,0,27,14,26,23,19,1,3,60,2,3,1,1,1,1
34,2000001581866983,2019/4/13 18:56,1.0,35,郑州,9.2969,8.6713,1,6,1.0,44,153,3,1,0,1,1,3,15,15,1,1,0,277,122,21,21,1,2,2,1,0,0,0,0,104,133,168,204,302,63,40,135,11,6,6,45,1,1
36,2000001582452436,2018/11/20 20:01,0.0,59,邵阳,9.2969,15.6268,1,4,2.75,48,20,1,1,0,1,1,1,3,2,0,1,0,44,24,2,0,0,0,0,0,0,0,0,0,17,14,17,28,14,6,3,1,6,5,0,1,2,1
38,2000001582867795,2019/4/7 7:09,1.0,78,东莞,9.2969,15.9292,1,2,0.5,47,22,1,1,0,1,1,0,2,2,0,1,0,40,42,0,2,0,0,0,0,0,0,0,0,17,14,6,18,14,6,0,0,0,0,0,4,0,1
40,2000001584753083,2019/1/6 23:48,0.0,83,佛山,9.2969,9.0728,1,5,0.8,20,27,0,1,0,1,1,0,4,0,0,1,0,82,54,5,0,1,3,4,25,3,0,0,0,57,20,9,3,37,30,7,25,5,7,2,2,1,1
43,2000001588357106,2019/3/4 8:34,9.0,81,白银,9.2969,9.3986,1,4,0.75,18,34,1,1,0,1,1,4,4,4,1,1,2,106,76,7,12,5,3,3,0,3,0,0,0,25,29,28,50,47,10,11,100,6,0,2,18,0,1
44,2000001589366243,2019/3/4 18:35,0.0,58,衢州,9.2969,15.6268,1,2,1.5,66,68,0,1,1,1,1,3,1,1,1,1,0,58,20,1,6,1,0,0,0,0,0,0,0,25,22,10,35,21,9,6,12,2,7,1,8,1,1
47,2000001590194561,2018/11/30 13:22,0.0,54,荆门,13.557,8.1782,1,4,1.0,25,131,0,0,0,1,1,2,2,1,0,2,4,65,24,0,0,0,0,0,0,0,0,0,0,13,14,56,10,11,2,0,0,0,4,0,0,1,1
48,2000001590856004,2019/2/16 6:17,9.0,81,南京,9.2969,15.9722,1,5,1.4,10,10,1,0,0,1,1,1,2,2,0,2,0,43,32,4,0,0,0,0,0,0,0,0,0,17,17,8,39,14,10,8,1,5,5,2,1,1,1
49,2000001590989660,2019/1/31 19:45,9.0,56,温州,9.2969,8.8529,1,8,0.88,31,116,2,0,0,1,1,1,9,9,0,2,0,136,132,6,24,0,0,0,0,1,0,0,0,42,38,71,30,35,21,10,5,7,5,2,24,1,1
52,2000001591046901,2018/12/24 0:26,0.0,69,中山,13.557,12.9528,1,2,1.0,63,0,0,1,0,1,1,0,0,0,1,1,0,5,3,2,1,0,1,0,0,0,0,0,0,4,1,7,7,1,1,2,2,0,3,1,0,1,1
55,2000001592020032,2019/2/28 21:11,9.0,72,广州,9.2969,4.1152,1,3,1.0,38,40,0,1,1,1,1,0,2,2,1,1,0,86,42,4,6,2,0,1,0,3,0,0,0,48,40,41,76,37,24,3,2,4,5,0,20,1,1
56,2000001592659628,2019/3/5 17:22,9.0,71,厦门,13.557,11.1924,1,5,0.8,24,205,1,1,1,1,1,4,3,3,1,1,0,121,94,1,3,1,0,0,0,0,0,0,0,44,26,19,36,33,1,6,63,1,0,2,11,2,1
57,2000001593589064,2019/2/3 13:57,0.0,47,无锡,9.2969,10.0,1,4,0.75,22,58,0,1,0,1,1,1,3,2,1,0,0,88,62,9,6,0,1,0,0,0,0,0,0,25,27,21,34,31,14,11,31,4,7,1,7,1,1
59,2000001593615497,2018/11/27 15:00,1.0,78,济南,9.2969,9.1205,1,4,0.75,20,53,0,0,0,1,1,1,3,4,1,0,0,93,23,6,6,0,0,0,0,1,0,0,0,69,38,37,72,56,28,19,0,10,7,2,10,2,1
60,2000001593634165,2018/12/5 5:32,0.0,83,南通,9.2969,12.6005,1,7,9.43,33,185,3,1,1,1,1,2,6,6,1,2,0,138,133,6,5,1,1,2,0,1,3,0,610,41,24,23,37,28,17,21,66,7,6,1,1,3,1
61,2000001593676916,2019/2/1 18:17,0.0,63,曲靖,9.2969,15.7618,1,8,4.13,26,27,1,1,1,1,1,2,6,7,1,1,3,119,47,11,2,0,0,0,0,3,0,0,0,51,43,32,39,46,34,26,15,3,5,3,6,1,1
64,2000001593885075,2018/12/18 9:59,9.0,66,上海,9.2969,16.53,1,4,1.25,26,25,1,1,0,1,1,1,2,2,0,1,0,40,42,5,5,0,3,0,0,0,1,0,0,17,16,19,24,18,17,2,4,4,5,3,3,2,1
65,2000001594853288,2018/11/16 14:07,0.0,68,广州,13.557,13.5328,1,6,1.17,19,63,1,0,0,1,1,2,6,4,0,3,1,118,110,5,2,0,4,3,0,4,2,0,0,56,35,56,47,42,6,4,30,0,3,0,7,2,1
66,2000001595087785,2018/12/22 21:59,0.0,58,天津,9.2969,7.601,1,1,0.0,6588,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,2000001595549244,2019/3/9 20:47,0.0,101,深圳,13.557,10.8966,1,5,0.8,23,32,4,1,0,1,1,1,5,4,0,2,0,32,47,0,4,2,0,2,0,0,0,0,12,0,0,0,0,0,0,7,7,0,6,0,5,1,1
69,2000001595607557,2019/1/24 7:03,0.0,71,成都,9.2969,20.3704,1,4,0.75,18,45,0,1,0,1,1,1,4,4,1,0,0,94,75,2,4,0,1,0,0,0,0,0,1559,25,21,17,42,21,10,29,72,4,5,3,5,1,1
70,2000001595690853,2018/12/19 9:09,1.0,52,常德,9.2969,25.0,1,5,0.8,19,23,1,1,0,1,1,2,2,2,1,1,0,75,43,1,5,0,0,0,0,0,0,0,0,25,23,39,71,30,16,2,0,3,5,0,4,1,1
72,2000001599548994,2019/3/9 15:47,9.0,74,淮安,9.2969,10.1987,1,4,0.75,17,32,3,1,0,1,1,4,5,6,0,0,1,138,136,18,8,0,3,0,0,10,0,0,0,38,39,34,61,54,23,20,32,6,0,3,10,0,1
73,2000001600455903,2018/11/20 19:57,0.0,58,重庆,13.557,12.2061,1,5,1.4,21,27,0,0,0,1,1,1,3,3,0,5,1,89,71,9,4,1,3,1,0,3,0,0,0,42,28,50,46,39,15,5,6,4,4,3,3,1,1
75,2000001601645392,2019/3/19 11:18,1.0,54,广州,9.2969,18.7674,1,2,1.0,58,125,0,1,0,1,1,1,8,10,1,1,0,54,33,6,0,0,1,1,0,1,0,0,0,30,19,12,29,16,15,27,13,14,0,6,2,0,1
