,user_id,age_month,learn_num,finish_num,ppt,task,share,result
4212,2000002775372347,50,2,2,17,16,5,1
4213,2000002775372970,58,4,4,19,14,5,1
4214,2000002775374466,88,6,5,0,0,0,1
4215,2000002775380570,49,2,2,121,46,2,1
4218,2000002775390497,47,0,0,40,7,0,1
4219,2000002775396719,54,2,3,32,23,0,1
4220,2000002775397045,76,1,0,28,11,0,1
4221,2000002775398122,55,4,4,21,15,4,1
4222,2000002775409873,53,3,3,42,32,5,1
4223,2000002775427555,66,7,7,36,29,1,1
4224,2000002775432294,61,8,7,52,46,7,1
4226,2000002775433080,63,2,2,21,14,4,1
4227,2000002775434613,98,4,3,26,13,7,1
4229,2000002775440343,17,5,6,51,15,3,1
4231,2000002775465035,35,7,6,25,46,17,1
4233,2000002775473844,36,4,2,13,28,13,1
4235,2000002775636058,66,7,7,47,40,10,1
4236,2000002775795217,48,1,2,8,7,2,1
4237,2000002779092536,80,3,3,18,14,1,1
4239,2000002780906135,61,7,8,25,22,2,1
4241,2000002781522393,59,2,3,25,23,7,1
4242,2000002781539759,81,3,3,112,65,0,1
4244,2000002781549121,43,1,2,0,5,6,1
4246,2000002781595384,88,4,4,0,0,0,1
4247,2000002781622637,41,5,6,23,25,8,1
4248,2000002781654573,93,1,1,0,0,0,1
4249,2000002781680132,63,1,2,22,19,5,1
4250,2000002781693290,52,3,2,23,15,2,1
4251,2000002781695086,62,4,4,60,38,10,1
4254,2000002782795211,26,3,3,0,0,1,1
4256,2000002783517724,48,3,3,52,31,5,1
4258,2000002783614404,38,9,11,27,56,4,1
4259,2000002783949892,74,1,1,27,10,0,1
4261,2000002787909362,33,4,3,0,16,11,1
4262,2000002787918714,79,4,4,33,19,2,1
4263,2000002787925192,61,4,4,41,32,10,1
4267,2000002789599700,65,3,3,27,22,7,1
4269,2000002790419350,74,7,4,26,21,3,1
4270,2000002790602954,87,5,4,0,0,8,1
4271,2000002790623034,41,5,6,17,17,3,1
4273,2000002792180110,77,8,9,37,38,21,1
4274,2000002792238733,71,3,5,27,21,1,1
4275,2000002792595645,70,1,1,17,15,4,1
4276,2000002792598790,62,13,13,53,57,4,1
4278,2000002792898149,72,3,3,0,0,0,1
4279,2000002792898987,48,3,4,35,26,4,1
4280,2000002792899086,72,10,10,62,64,22,1
4281,2000002793797411,54,3,4,26,21,2,1
4284,2000002793825684,58,2,2,17,16,5,1
4285,2000002793825926,61,2,2,20,15,0,1
4286,2000002793826070,43,7,6,57,70,12,1
4287,2000002793826178,55,2,2,26,15,3,1
4288,2000002793826420,54,2,2,31,27,10,1
4289,2000002793827649,45,4,3,34,22,7,1
4290,2000002793828496,56,8,8,34,36,16,1
4291,2000002793848015,101,6,6,34,29,7,1
4293,2000002793873143,72,3,4,34,28,9,1
4294,2000002794001467,54,6,6,64,51,25,1
4295,2000002794002134,64,3,3,45,40,32,1
4296,2000002794012351,12,7,5,0,1,1,1
4297,2000002794013246,87,0,0,0,0,0,1
4298,2000002794022547,54,2,2,41,29,9,1
4301,2000002794026972,52,7,8,34,33,52,1
4303,2000002794029378,2,3,3,0,0,6,1
4305,2000002794042233,68,1,1,17,14,4,1
4306,2000002794047592,62,2,2,26,21,4,1
4307,2000002794057045,58,2,1,8,9,1,1
4308,2000002794057781,50,3,3,56,45,12,1
4309,2000002794059233,45,4,4,0,12,3,1
4310,2000002794077553,52,6,5,54,42,5,1
4312,2000002797518896,75,6,7,27,22,15,1
4313,2000002804295228,71,4,5,86,80,7,1
4314,2000002804398972,3,3,3,44,24,4,1
4315,2000002804403995,68,5,5,42,38,18,1
4316,2000002807599237,95,1,1,0,0,1,1
4318,2000002807611427,34,6,4,13,17,1,1
4319,2000002808016981,45,1,1,0,9,6,1
4320,2000002808161599,101,4,4,0,0,1,1
4323,2000002810196911,72,4,5,25,22,6,1
4327,2000002810244335,64,5,3,28,26,18,1
4328,2000002810247376,73,9,8,26,21,3,1
4329,2000002810248435,69,2,2,29,22,11,1
4330,2000002810248628,61,1,0,0,0,0,1
4334,2000002810311247,56,4,4,34,30,13,1
4335,2000002810313252,49,4,3,47,32,10,1
4336,2000002810329004,0,4,4,0,0,3,1
4340,2000002810347983,64,3,3,38,41,4,1
4341,2000002814006574,66,4,4,67,38,8,1
4342,2000002816596338,51,5,5,0,69,6,1
4343,2000002818996512,53,5,5,29,31,13,1
4344,2000002818996516,56,5,5,34,32,9,1
4345,2000002818997511,76,3,3,35,35,11,1
4346,2000002819015255,56,5,5,52,31,8,1
4347,2000002819023651,88,5,5,34,28,17,1
4348,2000002819039567,55,2,2,43,30,11,1
4349,2000002819104369,58,4,4,43,34,11,1
4352,2000002819108392,65,6,6,27,27,7,1
4353,2000002819108963,57,11,10,126,68,14,1
4354,2000002819111888,61,1,0,0,0,0,1
4355,2000002819113703,50,5,4,27,23,8,1
4357,2000002819115034,61,2,2,28,23,6,1
4358,2000002819115364,34,7,2,14,27,5,1
4359,2000002819120822,62,3,1,25,22,2,1
4360,2000002819124136,89,4,4,8,7,5,1
4361,2000002819130308,91,6,5,34,28,7,1
4362,2000002819135581,63,2,2,8,8,4,1
4363,2000002819140430,60,3,3,25,23,11,1
4365,2000002822611641,52,5,6,34,33,3,1
4366,2000002823297922,71,6,3,27,28,1,1
4368,2000002823343503,58,4,5,17,14,5,1
4369,2000002823417806,66,2,4,17,14,7,1
4370,2000002824313881,60,3,2,60,40,29,1
4371,2000002828795862,65,2,2,32,25,23,1
4372,2000002828796050,56,3,3,46,32,9,1
4373,2000002828796560,67,3,3,33,28,12,1
4374,2000002828819722,57,4,3,46,35,10,1
4375,2000002828912188,50,3,0,0,0,0,1
4376,2000002828921661,70,4,4,60,50,14,1
4378,2000002830430055,59,6,5,38,36,12,1
4380,2000002835397989,78,0,0,43,28,14,1
4381,2000002835398850,58,3,3,27,20,13,1
4382,2000002835418086,46,2,2,0,14,5,1
4384,2000002835426597,74,6,6,36,30,12,1
4386,2000002835430313,70,5,5,34,28,12,1
4387,2000002835443555,69,3,2,25,21,8,1
4388,2000002835450990,66,10,12,25,21,3,1
4389,2000002835453549,61,1,2,8,7,6,1
4390,2000002835457796,74,9,8,25,22,10,1
4391,2000002835463717,65,2,2,25,21,7,1
4392,2000002835466285,54,6,7,16,18,4,1
4393,2000002835475793,82,2,2,9,13,7,1
4394,2000002835606235,73,4,5,33,29,0,1
4396,2000002835638786,57,5,5,43,32,8,1
4397,2000002835674690,68,3,3,143,69,15,1
4398,2000002844574153,76,0,5,5,2,2,1
4399,2000002848799742,83,10,7,45,38,9,1
4400,2000002848805910,48,7,6,38,32,14,1
4402,2000002848806119,32,8,10,66,46,15,1
4404,2000002848816876,59,3,2,37,20,4,1
4405,2000002848906138,62,3,3,34,29,7,1
4406,2000002848906188,37,2,2,19,24,8,1
4407,2000002848908010,38,8,9,26,37,13,1
4408,2000002848910915,79,4,2,19,29,3,1
4410,2000002848913435,60,0,0,9,6,0,1
4411,2000002848917235,78,6,6,65,58,26,1
4413,2000002849348845,52,3,4,43,34,8,1
4414,2000002853296982,97,6,6,0,0,5,1
4415,2000002853301737,61,6,6,25,40,19,1
4416,2000002853306967,65,10,10,34,28,3,1
4417,2000002853308370,56,4,4,46,37,7,1
4420,2000002853603801,57,0,0,0,0,0,1
4421,2000002857698057,49,4,3,23,19,0,1
4422,2000002859495718,70,6,8,22,14,4,1
4424,2000002859517456,70,3,3,42,27,9,1
4425,2000002859529187,70,2,3,16,14,5,1
4426,2000002859531899,90,1,1,0,0,1,1
4427,2000002859539314,70,3,3,34,29,8,1
4429,2000002859796783,52,3,3,0,0,0,1
4433,2000002859822765,83,3,2,17,15,8,1
4435,2000002859836747,58,5,5,34,28,15,1
4437,2000002859842834,55,5,4,51,44,10,1
4438,2000002859862961,51,5,5,42,46,22,1
4439,2000002860031839,86,2,2,0,0,2,1
4441,2000002865408834,84,7,6,17,13,10,1
4442,2000002866731982,41,0,0,22,8,1,1
4443,2000002869918872,77,10,7,25,28,11,1
4444,2000002869931936,46,10,11,17,30,14,1
4445,2000002869948633,73,9,10,27,37,9,1
4446,2000002869948739,53,3,2,58,19,3,1
4448,2000002869958989,50,3,3,41,22,10,1
4449,2000002870007297,65,3,3,42,33,7,1
4452,2000002870025823,82,3,3,0,0,0,1
4455,2000002870066639,55,4,5,22,31,12,1
4456,2000002870078141,68,5,6,34,28,16,1
4457,2000002870093610,62,0,0,0,0,0,1
4458,2000002870093678,80,3,3,46,32,4,1
4459,2000002870302930,63,5,5,43,25,9,1
4460,2000002870666768,69,4,4,0,0,0,1
4461,2000002870684206,39,5,1,0,9,0,1
4462,2000002873823050,79,0,0,0,0,0,1
4465,2000002880596947,62,3,4,30,24,23,1
4466,2000002880598812,58,3,4,83,52,19,1
4467,2000002880606553,53,8,9,33,29,10,1
4468,2000002880618083,53,12,12,70,51,8,1
4470,2000002880624847,71,4,4,49,39,19,1
4473,2000002880814428,89,14,13,47,30,26,1
4474,2000002880817287,73,3,3,40,29,3,1
4475,2000002881408468,73,3,6,43,45,14,1
4476,2000002881588753,97,1,1,0,0,6,1
4477,2000002885002040,49,4,3,38,28,10,1
4478,2000002885395970,63,3,3,37,30,9,1
4479,2000002885427739,61,3,3,25,21,7,1
4480,2000002885496069,62,4,4,60,33,9,1
4481,2000002885496693,81,5,5,0,0,9,1
4483,2000002890098184,44,3,3,27,24,6,1
4484,2000002890101360,62,2,3,8,7,7,1
4485,2000002890101685,65,2,2,43,35,9,1
4488,2000002891095776,58,2,2,51,28,2,1
4492,2000002895196176,65,2,2,25,15,2,1
4493,2000002895199063,57,2,3,52,48,28,1
4494,2000002896203333,77,14,14,34,46,40,1
4496,2000002896220949,48,11,10,59,37,19,1
4497,2000002896230162,67,3,3,33,27,12,1
4499,2000002896249020,76,4,4,43,40,2,1
4500,2000002896258952,100,3,4,9,7,3,1
4501,2000002896260778,79,2,1,21,9,3,1
4502,2000002896296991,55,6,5,25,23,15,1
4503,2000002896328612,44,5,4,9,23,11,1
4504,2000002896344289,53,3,3,51,54,10,1
4505,2000002896359428,78,5,5,27,22,4,1
4506,2000002896362423,55,3,3,34,28,1,1
4507,2000002896366633,71,5,4,37,30,2,1
4509,2000002900595294,72,4,4,8,7,5,1
4510,2000002900604459,57,3,2,16,27,9,1
4512,2000002905953345,56,8,9,38,21,3,1
4513,2000002906054702,64,2,2,17,17,9,1
4514,2000002906097038,61,0,0,0,0,0,1
4516,2000002911942335,57,6,7,25,22,5,1
4517,2000002911998658,51,2,2,47,34,11,1
4518,2000002912012123,66,1,3,31,27,4,1
4519,2000002912042956,65,5,4,47,37,14,1
4522,2000002919554436,82,4,4,0,0,6,1
4524,2000002920898387,54,9,5,51,44,21,1
4525,2000002923320870,73,5,4,22,16,0,1
4526,2000002923324070,84,7,4,0,0,1,1
4527,2000002923328262,48,4,3,62,43,2,1
4528,2000002923331319,49,8,4,37,30,2,1
4531,2000002923421494,57,2,2,56,38,3,1
4532,2000002923423835,88,2,2,0,0,6,1
4534,2000002923432992,54,11,11,45,61,15,1
4536,2000002923646275,82,5,5,0,0,0,1
4538,2000002926411004,66,6,6,48,35,8,1
