,user_id,age_month,learn_num,finish_num,ppt,task,share,result
0,2000001563151338,61,3,3,0,0,0,1
2,2000001563266119,66,3,3,47,30,1,1
5,2000001568947583,69,4,4,45,29,9,1
7,2000001569870868,76,9,10,35,32,21,1
8,2000001569947465,53,4,4,44,26,10,1
9,2000001569957403,74,3,3,17,14,6,1
10,2000001569960123,66,0,0,0,0,0,1
14,2000001572158707,51,5,5,34,28,15,1
16,2000001576571971,58,3,3,38,28,9,1
20,2000001577311518,91,1,0,0,4,1,1
22,2000001577748309,99,2,2,0,0,13,1
23,2000001577893169,54,1,1,0,0,2,1
24,2000001578008099,77,5,5,25,29,5,1
25,2000001578011432,56,4,4,17,14,4,1
26,2000001578102890,65,2,2,42,25,4,1
27,2000001578257492,93,2,2,33,23,17,1
28,2000001579146755,65,1,1,9,7,2,1
29,2000001579161530,93,10,11,17,26,18,1
30,2000001579565441,80,2,1,66,28,0,1
31,2000001579646725,68,10,8,74,62,15,1
32,2000001580253098,85,2,2,27,14,1,1
34,2000001581866983,35,15,15,104,133,45,1
36,2000001582452436,59,3,2,17,14,1,1
38,2000001582867795,78,2,2,17,14,4,1
40,2000001584753083,83,4,0,57,20,2,1
43,2000001588357106,81,4,4,25,29,18,1
44,2000001589366243,58,1,1,25,22,8,1
47,2000001590194561,54,2,1,13,14,0,1
48,2000001590856004,81,2,2,17,17,1,1
49,2000001590989660,56,9,9,42,38,24,1
52,2000001591046901,69,0,0,4,1,0,1
55,2000001592020032,72,2,2,48,40,20,1
56,2000001592659628,71,3,3,44,26,11,1
57,2000001593589064,47,3,2,25,27,7,1
59,2000001593615497,78,3,4,69,38,10,1
60,2000001593634165,83,6,6,41,24,1,1
61,2000001593676916,63,6,7,51,43,6,1
64,2000001593885075,66,2,2,17,16,3,1
65,2000001594853288,68,6,4,56,35,7,1
66,2000001595087785,58,0,0,0,0,0,1
68,2000001595549244,101,5,4,0,0,5,1
69,2000001595607557,71,4,4,25,21,5,1
